"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Oui","Non indiqué","Domaine 4 -Ingénierie et santé : homme, bioproduits, environnement - UC Aliment, alimentation et santé de l’homme"," - Construction de la qualité nutritionnelle et sensorielle de l’aliment
- Analyse de la qualité nutritionnelle des aliments
- Analyse des propriétés sensorielles des aliments
- Déterminants économiques, sociaux et culturels des choix alimentaires
- Digestions et utilisation postprandiale des aliments (y compris rôle du microbiote intestinal)
- Besoins nutritionnels et recommandations
- Impact des constituants alimentaires et nutriments sur les grandes fonctions
- Les systèmes alimentaires et leur évolution
- Droit alimentaire","Optionnel","non-indiqué ","42.5","Partiel + Oral de groupe","Question environnementale abordée par le prisme de l'impact sur la santé de notre alimentation --> questionnement sur nos besoins et l'importance de veiller à la qualité (sanitaire et environnementale) des aliments que l'on consomme","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Oui","Non indiqué","Domaine 4 -Ingénierie et santé : homme, bioproduits, environnement - UC Risques sanitaires environnementaux et alimentaires pour l’Homme"," - Problématique générale : Introduction des concepts, présentation des différents types de risques sanitaires pour l’Homme, évolution du cadre réglementaire, présentation des enjeux et des principaux acteurs impliqués
- Les dangers : Présentation des dangers avérés, suspectés, émergents chimiques et microbiologiques, Identification et contrôle des dangers
- Maîtrise des dangers : Démarche HACCP, Maitrise des dangers microbiologiques, Dangers chimiques (modélisation du transfert / devenir des contaminants pour évaluer l’exposition, données d’exposition et estimation via des scénariis d’exposition, biomarqueurs et bioindicateurs)
- Méthodologie d’évaluation quantitative des risques sanitaires 
- Gestion des risques sanitaires ","Optionnel","non-indiqué ","32.0","Partiel + fiches risques chimiques et microbiologiques","Question environnementale abordée par le prisme des impacts sur la santé de l'homme de rejets chimiques et microbiologiques","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Non","Improbable","Domaine 4 -Ingénierie et santé : homme, bioproduits, environnement - UC  Mathématiques et statistiques pour la santé","  Le modèle SIR
- Le modèle linéaire généralisé
- La classification","Optionnel","non-indiqué ","27.0","Partiel + CR TP","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Formation ingénieur par apprentissage","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","?","http://www2.agroparistech.fr/1ere-annee,2113.html#apprentisssage","Oui","Non indiqué","Non indiqué","non-indiqué ","non-indiqué ","non-indiqué ","non-indiqué ","non-indiqué ","""Toute l’offre de formation d’AgroParisTech est accessible aux apprentis à l’exclusion des parcours en double diplôme. Le détail de la formation par apprentissage sera mis en ligne prochainement.""","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Master Agrosciences, environnement, territoires, paysage, forêt","Sciences, Technologie, Santé","Environnement et territoire","Gestion durable des ressources et des milieux, des paysages et des territoires","Bac+3","Bac+5","2.0","120.0","http://www2.agroparistech.fr/-Agrosciences-environnement-territoires-paysage-foret-Campus-Ile-de-France-.html","Oui","Oui","Climate, land use, ecosystem services (CLUES)","Fonctionnement des écosystèmes","non-indiqué ","non-indiqué ","non-indiqué ","non-indiqué ","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Master Agrosciences, environnement, territoires, paysage, forêt","Sciences, Technologie, Santé","Environnement et territoire","Gestion durable des ressources et des milieux, des paysages et des territoires","Bac+3","Bac+5","2.0","120.0","http://www2.agroparistech.fr/-Agrosciences-environnement-territoires-paysage-foret-Campus-Ile-de-France-.html","Oui","Oui","Environnement : dynamiques, territoires et               
sociétés / Développement durable, biodiversité et 
aménagement des territoires (EDTS – DEBATS","Développement durable, Occupation des sols","non-indiqué ","non-indiqué ","non-indiqué ","non-indiqué ","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Master Biodiversité, écologie et évolution","Sciences, Technologie, Santé","Biologie, environnement","Comprendre et résoudre des problèmes concernant la biodiversité","Bac+3","Bac+5","2.0","120.0","http://www2.agroparistech.fr/-Biodiversite-ecologie-evolution-Campus-Ile-de-france-.html","Oui","Oui","Environnement : dynamiques, territoires et               
sociétés / Développement durable, biodiversité et 
aménagement des territoires (EDTS – DEBATS","Développement durable, Occupation des sols","non-indiqué ","non-indiqué ","non-indiqué ","non-indiqué ","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Master Biodiversité, écologie et évolution","Sciences, Technologie, Santé","Biologie, environnement","Comprendre et résoudre des problèmes concernant la biodiversité","Bac+3","Bac+5","2.0","120.0","http://www2.agroparistech.fr/-Biodiversite-ecologie-evolution-Campus-Ile-de-france-.html","Oui","Oui","Génomique et environnement
(GE)","Fonctionnement des écosystèmes","non-indiqué ","non-indiqué ","non-indiqué ","non-indiqué ","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Master Biologie intégrative et physiologie","Sciences, Technologie, Santé","Biologie, environnement","Connaissances et savoir-faire en biologie liés à l’agriculture, l’alimentation et l’environnement et associés à des approches d’ingénierie du vivan","Bac+3","Bac+5","2.0","120.0","http://www2.agroparistech.fr/-Biologie-integrative-et-physiologie-.html","Oui","Oui","M1 Biologie des systèmes et modélisation pour 
l'ingénierie du vivant","Fonctionnement des écosystèmes (?)","non-indiqué ","non-indiqué ","non-indiqué ","non-indiqué ","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Master Biologie intégrative et physiologie","Sciences, Technologie, Santé","Biologie, environnement","Connaissances et savoir-faire en biologie liés à l’agriculture, l’alimentation et l’environnement et associés à des approches d’ingénierie du vivan","Bac+3","Bac+5","2.0","120.0","http://www2.agroparistech.fr/-Biologie-integrative-et-physiologie-.html","Oui","Oui","Génomique et environnement
(GE)","Fonctionnement des écosystèmes","non-indiqué ","non-indiqué ","non-indiqué ","non-indiqué ","","1.0"
