"ETABLISSEMENT","","","","","FORMATION","","","","","","","UNITE DE VALEUR (COURS)","","","","","","",""
"Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Avis critique sur le cours et/ou la formation","Comptabilité"
"HEC","Double degree with ESADE Business School - MSc in Finance ","Droit, Economie, Gestion","Management ","The double program HEC Paris-ESADE gives access to 4 comprehensive MSc dedicated to 4 different fields of management.","Bac+4","Bac+5","1.0","60.0","http://www.hec.edu/Masters-programs/Master-s-Programs/Grande-Ecole/Master-in-Management/Program-Details/M2-Specialization-Phase/Management/Double-degree-with-ESADE-Business-School","Non","Non","","","","","","","",""
"HEC","Double degree with Indian Institute of Management, Ahmedabad","Droit, Economie, Gestion","Management ","HEC students enrolled in the HEC Paris-IIMA’s double degree program will have access to more than a hundred of electives.","Bac+4","Bac+5","1.0","60.0","http://www.hec.edu/Masters-programs/Master-s-Programs/Grande-Ecole/Master-in-Management/Program-Details/M2-Specialization-Phase/Management/Double-degree-with-Indian-Institute-of-Management-Ahmedabad","Oui","Non","Management of Technology for Sustainable Agriculture","non indiqué","Non indiqué","non indiqué","non indiqué","non indiqué","",""
"HEC","Double degree with Indian Institute of Management, Ahmedabad","Droit, Economie, Gestion","Management ","HEC students enrolled in the HEC Paris-IIMA’s double degree program will have access to more than a hundred of electives.","Bac+4","Bac+5","1.0","60.0","http://www.hec.edu/Masters-programs/Master-s-Programs/Grande-Ecole/Master-in-Management/Program-Details/M2-Specialization-Phase/Management/Double-degree-with-Indian-Institute-of-Management-Ahmedabad","Oui","Oui","Carbon Finance","non indiqué","Non indiqué","non indiqué","non indiqué","non indiqué","",""
"HEC","Double degree with Indian Institute of Management, Ahmedabad","Droit, Economie, Gestion","Management ","HEC students enrolled in the HEC Paris-IIMA’s double degree program will have access to more than a hundred of electives.","Bac+4","Bac+5","1.0","60.0","http://www.hec.edu/Masters-programs/Master-s-Programs/Grande-Ecole/Master-in-Management/Program-Details/M2-Specialization-Phase/Management/Double-degree-with-Indian-Institute-of-Management-Ahmedabad","Oui","Non","Environment Management","non indiqué","Non indiqué","non indiqué","non indiqué","non indiqué","",""
"HEC","Double degree with Indian Institute of Management, Ahmedabad","Droit, Economie, Gestion","Management ","HEC students enrolled in the HEC Paris-IIMA’s double degree program will have access to more than a hundred of electives.","Bac+4","Bac+5","1.0","60.0","http://www.hec.edu/Masters-programs/Master-s-Programs/Grande-Ecole/Master-in-Management/Program-Details/M2-Specialization-Phase/Management/Double-degree-with-Indian-Institute-of-Management-Ahmedabad","Oui","Non","Managing Sustainability","non indiqué","Non indiqué","non indiqué","non indiqué","non indiqué","",""
"HEC","Double degree with Indian Institute of Management, Ahmedabad","Droit, Economie, Gestion","Management ","HEC students enrolled in the HEC Paris-IIMA’s double degree program will have access to more than a hundred of electives.","Bac+4","Bac+5","1.0","60.0","http://www.hec.edu/Masters-programs/Master-s-Programs/Grande-Ecole/Master-in-Management/Program-Details/M2-Specialization-Phase/Management/Double-degree-with-Indian-Institute-of-Management-Ahmedabad","Oui","Improbable","Managing Energy Business","non indiqué","Non indiqué","non indiqué","non indiqué","non indiqué","",""
"HEC","Double degree with Double Degree with Keio Business School  M1","Droit, Economie, Gestion","Management ","Most classes of the Keio Business School MBA are conducted in Japanese except for courses offered to exchange students from global business schools. Full-time students, therefore, will speak Japanese in class discussions, and for reading and writing assignments. A good command of Japanese is mandatory for foreign students.","Bac+3","Bac+4","1.0","60.0","http://www.hec.edu/Masters-programs/Master-s-Programs/Grande-Ecole/Master-in-Management/Program-Details/M2-Specialization-Phase/Management/Double-Degree-with-Keio-Business-School","Improbable","Improbable","Stress Management","non indiqué","Obligatoire","non indiqué","non indiqué","non indiqué","",""
"HEC","Double degree with Double Degree with Keio Business School  M2","Droit, Economie, Gestion","Management ","Most classes of the Keio Business School MBA are conducted in Japanese except for courses offered to exchange students from global business schools. Full-time students, therefore, will speak Japanese in class discussions, and for reading and writing assignments. A good command of Japanese is mandatory for foreign students.","Bac+4","Bac+5","1.0","60.0","http://www.hec.edu/Masters-programs/Master-s-Programs/Grande-Ecole/Master-in-Management/Program-Details/M2-Specialization-Phase/Management/Double-Degree-with-Keio-Business-School","Non","Non","","","","","","","",""
"HEC","Double Degree with Keio University","Droit, Economie, Gestion","Management ","Most classes of the Keio Business School MBA are conducted in Japanese except for courses offered to exchange students from global business schools. Full-time students, therefore, will speak Japanese in class discussions, and for reading and writing assignments. A good command of Japanese is mandatory for foreign students.","Bac+4","Bac+5","1.0","60.0","http://www.hec.edu/Masters-programs/Master-s-Programs/Grande-Ecole/Master-in-Management/Program-Details/M2-Specialization-Phase/Management/Double-Degree-with-Keio-University","Improbable","Improbable","Long Run Growth and Development","non indiqué","Obligatoire","non indiqué","non indiqué","non indiqué","",""
"HEC","Double Degree with Keio University","Droit, Economie, Gestion","Management ","Most classes of the Keio Business School MBA are conducted in Japanese except for courses offered to exchange students from global business schools. Full-time students, therefore, will speak Japanese in class discussions, and for reading and writing assignments. A good command of Japanese is mandatory for foreign students.","Bac+4","Bac+5","1.0","60.0","http://www.hec.edu/Masters-programs/Master-s-Programs/Grande-Ecole/Master-in-Management/Program-Details/M2-Specialization-Phase/Management/Double-Degree-with-Keio-University","Oui","Non","Environmental Economic Policy - Global Economic Environmental Policy","non indiqué","Obligatoire","non indiqué","non indiqué","non indiqué","",""
