"","ETABLISSEMENT","FORMATION","","","","","","","","","UNITE DE VALEUR (COURS)","","","","","","","","","",""
"Type","Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Avis critique sur le cours et/ou la formation","Formation initiale ou continue","Comptabilité"
"Ecole_commerce","ESSEC","Global MBA","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce, de la gestion, de l'industrie, de l'entrepreunariat, du conseil, du marketing et de la finance.","Bac+4","Bac+5","1.0","90.0","http://www.essec.edu/en/program/mbas/global-mba/mba_majors/strategy-management/","Non","Non","aucun cours ""environnement"" identifié au sein de la formation","","","","","","","","1.0"
"Ecole_commerce","ESSEC","ESSEC Executive MBA","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce, de la gestion, de l'industrie, de l'entrepreunariat, du conseil, du marketing et de la finance.","Bac+4","Bac+5","1.0","90.0","http://www.essec.edu/en/program/mbas/global-mba/mba_majors/strategy-management/","Oui","Non","Sustainable Development","Développement durable","Non indiqué","Non indiqué","Non indiqué","Non indiqué","Description du cours non disponible","Formation continue","1.0"
"Ecole_commerce","ESSEC","PhD Program : ACCOUNTING AND AUDITING","Droit, Economie, Gestion","Gestion","Programme de recherche en comptabilité et audit","Bac+4","Bac+6","4.0","240.0","http://www.essec.edu/en/program/phd-en/phd-program/phd-concentration/accounting/","Non","Non","aucun cours ""environnement"" identifié au sein de la formation","","","","","","Programme de recherche => pas de cours (à exclure du recensement ?)","","1.0"
"Ecole_commerce","ESSEC","PhD Program : ECONOMICS","Droit, Economie, Gestion","Gestion","Programme de recherche en économie","Bac+4","Bac+6","4.0","240.0","http://www.essec.edu/en/program/phd-en/phd-program/phd-concentration/economics/","Oui","Improbable","Environmental Economics","","Non indiqué","Non indiqué","Non indiqué","Non indiqué","Programme de recherche => pas de cours (à exclure du recensement ?)","Formation continue","1.0"
"Ecole_commerce","ESSEC","PhD Program : FINANCE","Droit, Economie, Gestion","Gestion","Programme de recherche en finance","Bac+4","Bac+6","4.0","240.0","http://www.essec.edu/en/program/phd-en/phd-program/phd-concentration/finance/","Non","Non","aucun cours ""environnement"" identifié au sein de la formation","","","","","","Programme de recherche => pas de cours (à exclure du recensement ?)","","1.0"
"Ecole_commerce","ESSEC","PhD Program : MANAGEMENT","Droit, Economie, Gestion","Gestion","Programme de recherche en management","Bac+4","Bac+6","4.0","240.0","http://www.essec.edu/en/program/phd-en/phd-program/phd-concentration/management/","Non","Non","aucun cours ""environnement"" identifié au sein de la formation","","","","","","Programme de recherche => pas de cours (à exclure du recensement ?)","","1.0"
"Ecole_commerce","ESSEC","PhD Program : MARKETING","Droit, Economie, Gestion","Gestion","Programme de recherche en marketing","Bac+4","Bac+6","4.0","240.0","http://www.essec.edu/en/program/phd-en/phd-program/phd-concentration/marketing/","Non","Non","aucun cours ""environnement"" identifié au sein de la formation","","","","","","Programme de recherche => pas de cours (à exclure du recensement ?)","","1.0"
"Ecole_commerce","ESSEC","PhD Program : OPERATIONS & DATA ANALYTICS","Droit, Economie, Gestion","Gestion","Programme de recherche en gestion et analyse de données","Bac+4","Bac+6","4.0","240.0","http://www.essec.edu/en/program/phd-en/phd-program/phd-concentration/science/","Non","Non","aucun cours ""environnement"" identifié au sein de la formation","","","","","","Programme de recherche => pas de cours (à exclure du recensement ?)","","1.0"
"Ecole_commerce","ESSEC","ESSEC & Mannheim EMBA - European Track","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce, de la gestion, de l'industrie, de l'entrepreunariat, du conseil, du marketing et de la finance.","Bac+4","Bac+5","1.0","60.0","http://executive-education.essec.edu/en/program/embas-en/essec-mannheim-emba-modular-track/","Non","Non","aucun cours ""environnement"" identifié au sein de la formation","","","","","","","","1.0"
"Ecole_commerce","ESSEC","ESSEC & Mannheim EMBA - Asia-Pacific","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce, de la gestion, de l'industrie, de l'entrepreunariat, du conseil, du marketing et de la finance.","Bac+4","Bac+5","1.0","60.0","http://executive-education.essec.edu/en/program/embas-en/emba-asia-pacific-en/","Oui","Non","Ethics and CSR","RSE","Non indiqué","Non indiqué","Non indiqué","Non indiqué","Description du cours non disponible","Formation continue","1.0"
